rownames,score,unemp,wage,distance,tuition,education,gender_male,ethnicity_hispanic,ethnicity_other,fcollege_yes,mcollege_yes,home_yes,urban_yes,income_low,region_west
1,39.150001525878906,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,True,False,True,True,False,True,True,False,False
2,48.869998931884766,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,False,False,True,False,False,True,True,True,False
3,48.7400016784668,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,True,False,True,False,False,True,True,True,False
4,40.400001525878906,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,True,False,False,False,False,True,True,True,False
5,40.47999954223633,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,13,False,False,True,False,False,False,True,True,False
6,54.709999084472656,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,12,True,False,True,False,False,True,True,True,False
7,56.06999969482422,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,13,False,False,True,False,False,True,False,True,False
8,54.84999847412109,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,15,False,False,True,False,False,True,False,True,False
9,64.73999786376953,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,13,True,False,True,True,False,True,True,True,False
10,56.060001373291016,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,15,False,False,True,False,False,True,True,True,False
11,42.220001220703125,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,12,False,False,True,False,False,True,True,False,False
12,61.18000030517578,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,14,False,False,False,False,True,True,True,False,False
13,59.84999847412109,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,True,False,True,False,False,True,False,True,False
14,58.77000045776367,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,17,False,False,True,True,False,True,False,False,False
15,53.720001220703125,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,14,False,False,False,True,True,True,False,True,False
16,61.52000045776367,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,True,False,True,False,False,True,False,True,False
17,52.52999877929688,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,False,False,True,False,False,True,False,False,False
18,45.0099983215332,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,False,False,True,False,False,True,False,True,False
19,57.709999084472656,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,False,False,True,False,False,True,False,True,False
20,59.36000061035156,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,False,False,True,True,True,True,False,False,False
21,50.93000030517578,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,False,False,True,False,False,True,False,True,False
22,59.560001373291016,7.699999809265137,7.039999961853027,0.5,0.902999997138977,14,True,False,True,True,False,True,False,False,False
23,58.459999084472656,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,True,False,True,True,True,True,False,True,False
24,55.70000076293945,7.699999809265137,7.039999961853027,0.5,0.902999997138977,16,False,False,True,False,False,False,False,True,False
25,60.810001373291016,7.699999809265137,7.039999961853027,0.5,0.902999997138977,15,True,False,True,False,False,True,False,True,False
26,40.59999847412109,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,False,False,False,False,False,True,False,True,False
27,49.9900016784668,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,False,False,True,False,False,True,False,True,False
28,59.68999862670898,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,15,True,False,True,False,False,True,True,True,False
29,60.33000183105469,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,True,False,True,False,False,True,True,True,False
30,60.13999938964844,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,False,False,True,True,False,True,True,False,False
31,68.58000183105469,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,False,False,True,True,True,True,True,False,False
32,42.61000061035156,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,False,False,True,False,False,True,True,True,False
33,58.65999984741211,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,True,False,True,True,False,True,True,False,False
34,58.13999938964844,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,14,True,False,True,False,False,True,True,True,False
35,58.95000076293945,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,False,False,True,False,False,True,True,True,False
36,49.369998931884766,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,17,True,False,True,False,False,True,True,True,False
37,47.25,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,16,False,False,True,False,True,False,True,True,False
38,61.02999877929688,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,14,True,False,True,True,False,False,False,False,False
39,54.34999847412109,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,True,False,True,False,False,False,False,False,False
40,68.12000274658203,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,False,False,True,True,True,True,False,False,False
41,70.0999984741211,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,17,True,False,True,True,False,True,False,False,False
42,58.61000061035156,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,False,False,True,False,False,False,False,True,False
43,48.56999969482422,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,False,False,True,False,False,True,False,True,False
